           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -90            -82.5                5        0.0512362       -0.0103078          0.02552       -0.0050856         0.113263       -0.0225568
         -86.3265            -82.5                5        0.0374503      -0.00752594        0.0170511      -0.00337112         0.159643       -0.0319058
         -82.6531            -82.5                5        0.0273471      -0.00548763        0.0092342      -0.00179196         0.200716        -0.040187
         -78.9796            -82.5                5        0.0338869      -0.00680267        0.0136732      -0.00268211         0.228342       -0.0457675
         -75.3061            -82.5                5        0.0522933       -0.0105107        0.0326697      -0.00650565         0.244542        -0.049051
         -71.6327            -82.5                5        0.0661043       -0.0132975        0.0538223       -0.0107687         0.259306       -0.0520415
         -67.9592            -82.5                5        0.0753197       -0.0151629         0.077131       -0.0154711         0.272635       -0.0547391
         -64.2857            -82.5                5        0.0799397        -0.016107         0.102596       -0.0206131         0.284528       -0.0571437
         -60.6122            -82.5                5        0.0802423       -0.0161863         0.127856        -0.025715         0.308656       -0.0620089
         -56.9388            -82.5                5        0.0796778       -0.0160941         0.121516       -0.0244093         0.487258       -0.0979903
         -53.2653            -82.5                5        0.0748422       -0.0151307         0.110699       -0.0222146         0.629125        -0.126575
         -49.5918            -82.5                5        0.0598963       -0.0120841         0.145763       -0.0293076          0.68226        -0.137309
         -45.9184            -82.5                5        0.0426208      -0.00854144         0.223494       -0.0450058          0.66907         -0.13471
         -42.2449            -82.5                5        0.0321577      -0.00639089         0.287372       -0.0578761         0.654578        -0.131854
         -38.5714            -82.5                5        0.0285066       -0.0056324         0.337397       -0.0679184         0.638785        -0.128743
          -34.898            -82.5                5        0.0316678      -0.00626599         0.373567       -0.0751327          0.62169        -0.125375
         -31.2245            -82.5                5        0.0447137      -0.00892582         0.404762       -0.0813054          0.61849        -0.124763
          -27.551            -82.5                5        0.0982594       -0.0198107         0.456562       -0.0916482         0.661418        -0.133221
         -23.8776            -82.5                5         0.184094       -0.0371348          0.45762       -0.0918512         0.619594        -0.124756
         -20.2041            -82.5                5         0.255151       -0.0514448         0.451493       -0.0906421         0.560942        -0.113083
         -16.5306            -82.5                5         0.202176       -0.0408302         0.540672        -0.108557         0.670261        -0.135356
         -12.8571            -82.5                5         0.148198       -0.0300214         0.612125        -0.122945         0.785998        -0.158856
         -9.18367            -82.5                5        0.0932176       -0.0190185         0.665852        -0.133809         0.908153        -0.183582
          -5.5102            -82.5                5        0.0372343      -0.00782143         0.701853        -0.141146          1.03673        -0.209535
         -1.83673            -82.5                5       -0.0197518       0.00356982         0.720128        -0.144959          1.17172        -0.236714
          1.83673            -82.5                5       -0.0477177       0.00915953         0.732443         -0.14755          1.31247        -0.265005
           5.5102            -82.5                5         0.114909       -0.0233234         0.732329        -0.147387          1.35341        -0.273468
          9.18367            -82.5                5        0.0985058       -0.0199626         0.757287        -0.152483          1.42009        -0.287532
          12.8571            -82.5                5        0.0108086      -0.00235979         0.807308        -0.162707          1.50128        -0.304433
          16.5306            -82.5                5       -0.0650436        0.0128309         0.827954         -0.16708          1.52786        -0.310128
