           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              -90         -79.1327                5        0.0925672        -0.018441        0.0566199        -0.011227         0.379481        -0.075648
         -86.3265         -79.1327                5        0.0933316       -0.0185953        0.0567098       -0.0112299         0.463745       -0.0924794
         -82.6531         -79.1327                5        0.0633608       -0.0126156        0.0457501      -0.00904587         0.566856        -0.113063
         -78.9796         -79.1327                5         0.084542       -0.0168303        0.0657422       -0.0130183         0.635281        -0.126759
         -75.3061         -79.1327                5         0.116535       -0.0232262        0.0984854       -0.0195368         0.691048        -0.137945
         -71.6327         -79.1327                5           0.1489       -0.0297231         0.137352       -0.0272838         0.739122        -0.147607
         -67.9592         -79.1327                5         0.181639        -0.036321         0.182343       -0.0362594         0.779504        -0.155746
         -64.2857         -79.1327                5         0.183527       -0.0366968         0.226376       -0.0450112         0.796163        -0.159261
         -60.6122         -79.1327                5         0.255095       -0.0513164         0.289967       -0.0579728         0.973613        -0.195029
         -56.9388         -79.1327                5         0.307019       -0.0618434         0.278906       -0.0558596          1.41674        -0.283635
         -53.2653         -79.1327                5         0.268334       -0.0540426         0.223996       -0.0448051           1.7349        -0.347196
         -49.5918         -79.1327                5         0.246252       -0.0494175         0.242436       -0.0482567          2.10433        -0.421457
         -45.9184         -79.1327                5         0.244744       -0.0488005         0.430766       -0.0856268          2.55701        -0.512616
         -42.2449         -79.1327                5         0.250332       -0.0496387         0.725882        -0.144456          2.98948        -0.599659
         -38.5714         -79.1327                5         0.433393       -0.0866125          1.17487        -0.234667          3.22163        -0.646902
          -34.898         -79.1327                5         0.634292        -0.127288          1.67001        -0.334437          3.37649        -0.678733
         -31.2245         -79.1327                5         0.806743        -0.162252          2.19142        -0.439673           3.4979        -0.703838
          -27.551         -79.1327                5         0.950746        -0.191503           2.7391        -0.550377          3.58585        -0.722218
         -23.8776         -79.1327                5          1.01977        -0.205313          3.30295        -0.667786          3.83052        -0.772521
         -20.2041         -79.1327                5          1.03675        -0.208701          3.52069        -0.712286          4.18387        -0.843928
         -16.5306         -79.1327                5         0.946247        -0.190649          3.63442        -0.734903          4.68089        -0.943984
         -12.8571         -79.1327                5          0.74827        -0.151157          3.64412        -0.735639          5.32156         -1.07269
         -9.18367         -79.1327                5         0.442816       -0.0902256           3.5498        -0.714493           6.1059         -1.23004
          -5.5102         -79.1327                5         0.284199       -0.0563247          5.32156         -1.06643          5.70439         -1.14907
         -1.83673         -79.1327                5        -0.326252        0.0662151          4.06258         -0.81714          5.78741         -1.16551
          1.83673         -79.1327                5        0.0404512      -0.00965392          4.13658        -0.825756          6.23887         -1.25644
           5.5102         -79.1327                5        -0.258605        0.0506816          3.28295        -0.658186          6.08504         -1.22537
          9.18367         -79.1327                5         -0.46111        0.0921001          2.44087        -0.491589          5.81788         -1.16918
          12.8571         -79.1327                5        -0.536247         0.107609          2.04779        -0.413856          5.29715         -1.06515
          16.5306         -79.1327                5        -0.584436         0.117533          1.67148        -0.339137          4.83238        -0.972316
          20.2041         -79.1327                5        -0.605784         0.121897          1.31214        -0.267486          4.42339        -0.890662
          23.8776         -79.1327                5        -0.662111         0.133397          1.06196        -0.218012          3.85004        -0.776345
           27.551         -79.1327                5        -0.650761         0.130804          1.01125        -0.204218          3.39365        -0.683036
          31.2245         -79.1327                5        -0.579634           0.1164          1.04145        -0.210721          2.86501        -0.576456
           34.898         -79.1327                5         -0.41272        0.0825715         0.782628        -0.156811          2.17178        -0.435997
          38.5714         -79.1327                5        -0.311245        0.0620105         0.612487         -0.12244           1.9816        -0.397486
          42.2449         -79.1327                5        -0.247213        0.0491185         0.450655       -0.0900578          1.79057        -0.358756
          45.9184         -79.1327                5        -0.215767        0.0429222          0.28448       -0.0568092          1.56878        -0.313695
          49.5918         -79.1327                5        -0.218008        0.0436329         0.121085       -0.0241202          1.31737        -0.262559
          53.2653         -79.1327                5        -0.273521         0.054826         0.177534       -0.0354499          1.08641        -0.216426
          56.9388         -79.1327                5        -0.269907        0.0540403         0.168881       -0.0335735         0.861745        -0.171932
          60.6122         -79.1327                5         -0.19593        0.0392776         0.113904       -0.0224948          0.68809        -0.137583
          64.2857         -79.1327                5        -0.169451        0.0339887        0.0958949       -0.0189483         0.600795        -0.120116
          67.9592         -79.1327                5        -0.155495        0.0312216        0.0746768       -0.0147023         0.532593        -0.106469
          71.6327         -79.1327                5        -0.135151        0.0271609         0.052884       -0.0103496         0.477021       -0.0953371
          75.3061         -79.1327                5        -0.105363        0.0211855        0.0336474      -0.00654335         0.430332       -0.0859688
          78.9796         -79.1327                5       -0.0661308        0.0132956        0.0169668      -0.00328359         0.392527       -0.0783638
          82.6531         -79.1327                5       -0.0292539       0.00586199       0.00690269      -0.00135716         0.357697       -0.0713569
          86.3265         -79.1327                5       -0.0444743       0.00887534        0.0157415      -0.00310227         0.295251        -0.058919
               90         -79.1327                5       -0.0482845       0.00963795        0.0216148      -0.00427687         0.235069       -0.0469452
              -90         -75.7653                5        0.0832347       -0.0165871        0.0501492      -0.00994619         0.419111       -0.0834951
         -86.3265         -75.7653                5        0.0911351       -0.0181576        0.0508353       -0.0100669         0.506751        -0.100991
         -82.6531         -75.7653                5        0.0979987       -0.0195175        0.0539102       -0.0106554         0.583577        -0.116355
         -78.9796         -75.7653                5         0.137716       -0.0274428        0.0810846       -0.0160491         0.659606        -0.131578
         -75.3061         -75.7653                5         0.177574       -0.0354221         0.114381       -0.0226706          0.72822        -0.145333
         -71.6327         -75.7653                5         0.195338       -0.0389813         0.150791       -0.0299043         0.789286        -0.157617
         -67.9592         -75.7653                5          0.20162       -0.0402224         0.194618       -0.0386071         0.857847        -0.171415
         -64.2857         -75.7653                5         0.217323       -0.0433409         0.249514       -0.0495194         0.938234        -0.187572
         -60.6122         -75.7653                5         0.338031       -0.0678506         0.332233        -0.066366          1.21609        -0.243372
         -56.9388         -75.7653                5         0.404728       -0.0811672         0.327114       -0.0652834          1.69081        -0.338183
         -53.2653         -75.7653                5         0.326382       -0.0646777         0.196977       -0.0384529          2.26014        -0.451338
         -49.5918         -75.7653                5         0.337654       -0.0665338         0.299774       -0.0584911          2.71137        -0.541765
         -45.9184         -75.7653                5         0.591155        -0.117794         0.746864        -0.148192          2.94714        -0.590056
         -42.2449         -75.7653                5         0.816209        -0.163341          1.22022        -0.243361          3.14947        -0.631621
         -38.5714         -75.7653                5          1.01282        -0.203176          1.71985        -0.343996          3.31833        -0.666461
          -34.898         -75.7653                5          1.18097        -0.237298          2.24575        -0.450099          3.45375        -0.694575
         -31.2245         -75.7653                5          1.22679        -0.246963          2.96078        -0.598268          3.98605        -0.802751
          -27.551         -75.7653                5          1.13907        -0.229751          3.71106        -0.751351          4.82601        -0.972816
         -23.8776         -75.7653                5          1.04814        -0.210503          4.55673        -0.922595          5.50239         -1.11011
         -20.2041         -75.7653                5         0.932552        -0.186883          4.87875        -0.981984          6.43327         -1.29696
         -16.5306         -75.7653                5         0.749167        -0.150538          4.87868        -0.977943          7.40675         -1.49253
         -12.8571         -75.7653                5         0.573309        -0.114853          5.59217         -1.12219          7.63588         -1.54048
         -9.18367         -75.7653                5         0.469338       -0.0919446          7.32627         -1.47742          6.39416         -1.29423
          -5.5102         -75.7653                5         0.342725       -0.0694413          9.27303         -1.85359           7.8014         -1.57668
         -1.83673         -75.7653                5        -0.595307         0.120625          5.89701         -1.17914          7.43857         -1.49691
          1.83673         -75.7653                5        0.0221325      -0.00660574          7.09936         -1.41762          7.77881         -1.57135
           5.5102         -75.7653                5        -0.247198        0.0467341          6.01288         -1.20037          7.87058         -1.59008
          9.18367         -75.7653                5        -0.485828          0.09471          4.91686        -0.980569          7.89543         -1.59298
          12.8571         -75.7653                5        -0.631189         0.124451          3.81116        -0.757503          7.81811         -1.57278
          16.5306         -75.7653                5         -0.68328         0.135956          2.69578         -0.53117          7.63863         -1.52949
          20.2041         -75.7653                5        -0.687438         0.138474          1.78878        -0.350212          7.22873         -1.44289
          23.8776         -75.7653                5        -0.702611         0.141732           1.5876        -0.318032           6.4221         -1.28782
           27.551         -75.7653                5        -0.673698          0.13468          1.29517        -0.256079          5.43548         -1.09124
          31.2245         -75.7653                5        -0.613796         0.121743          1.07663        -0.209245          4.26444        -0.854859
           34.898         -75.7653                5        -0.531321         0.105566          1.00254        -0.200273          3.21971        -0.645443
          38.5714         -75.7653                5        -0.423856          0.08453         0.787996        -0.158623            2.409        -0.482298
          42.2449         -75.7653                5        -0.327521        0.0654919         0.542041        -0.108476          2.00902        -0.401328
          45.9184         -75.7653                5        -0.293832        0.0588631         0.362553       -0.0726074          1.79083        -0.356976
          49.5918         -75.7653                5        -0.302569         0.060879         0.184624       -0.0370518          1.54302        -0.306597
          53.2653         -75.7653                5        -0.344991         0.069113         0.176781        -0.035223          1.25841        -0.250182
          56.9388         -75.7653                5        -0.328732        0.0656744         0.164248       -0.0325054         0.999987        -0.199183
          60.6122         -75.7653                5        -0.245747        0.0491759         0.110085       -0.0216319         0.778404        -0.155331
          64.2857         -75.7653                5        -0.192779        0.0386359        0.0770277       -0.0150708         0.661013        -0.131955
          67.9592         -75.7653                5        -0.166764        0.0334376        0.0603254       -0.0117807         0.570741        -0.113944
          71.6327         -75.7653                5        -0.153053        0.0306997        0.0501959      -0.00980769          0.48975       -0.0977823
          75.3061         -75.7653                5        -0.126331        0.0253579        0.0340041      -0.00660377          0.43641       -0.0871139
          78.9796         -75.7653                5       -0.0880544        0.0176807        0.0189102      -0.00364996         0.394443       -0.0787029
          82.6531         -75.7653                5       -0.0397394       0.00796818       0.00638009      -0.00124483         0.361808       -0.0721434
          86.3265         -75.7653                5       -0.0425186       0.00850062        0.0140439      -0.00278216         0.309246       -0.0616648
               90         -75.7653                5       -0.0441668       0.00883251        0.0203377      -0.00403385         0.248166       -0.0495189
              -90          -72.398                5        0.0739295       -0.0147375        0.0451564      -0.00895267         0.452814       -0.0901666
         -86.3265          -72.398                5         0.104236       -0.0207291        0.0538927       -0.0106447         0.539657        -0.107507
         -82.6531          -72.398                5         0.125368       -0.0248994        0.0614915       -0.0121074         0.607768        -0.121134
         -78.9796          -72.398                5         0.167773       -0.0333594        0.0899865       -0.0177655         0.681819        -0.135961
         -75.3061          -72.398                5         0.220929       -0.0439619         0.135684       -0.0268452         0.771137        -0.153821
         -71.6327          -72.398                5         0.257244       -0.0512322         0.188051       -0.0372827          0.90387        -0.180286
         -67.9592          -72.398                5         0.266264       -0.0530306         0.222583       -0.0441478         0.986618        -0.196883
         -64.2857          -72.398                5         0.283487       -0.0564505         0.265621       -0.0527018          1.06909        -0.213447
         -60.6122          -72.398                5         0.407279       -0.0816157         0.316196       -0.0630532          1.13467        -0.227013
         -56.9388          -72.398                5         0.552609        -0.111005         0.420218       -0.0838609          1.70233        -0.340628
         -53.2653          -72.398                5         0.555708          -0.1112         0.404786       -0.0800647          2.37872         -0.47545
         -49.5918          -72.398                5          0.98734        -0.196078         0.645248        -0.126395          2.75317        -0.549875
         -45.9184          -72.398                5          1.38163         -0.27623          1.24505        -0.247204          2.96127        -0.592198
         -42.2449          -72.398                5          1.64706        -0.330163          1.82765         -0.36466          3.15161        -0.631231
         -38.5714          -72.398                5          1.77674        -0.356376          2.70022        -0.543837          3.80594        -0.764183
          -34.898          -72.398                5          1.73926        -0.348954          3.62971        -0.727772          5.06679         -1.01813
         -31.2245          -72.398                5          1.52858        -0.306733          4.52037        -0.895429          6.86134         -1.37824
          -27.551          -72.398                5          1.34937        -0.271571          5.27226         -1.05833          7.42774         -1.49591
         -23.8776          -72.398                5          1.05962         -0.21245          6.04914         -1.21082           8.5495         -1.72192
         -20.2041          -72.398                5         0.667627        -0.131288          6.78804         -1.33968          10.2886         -2.06866
         -16.5306          -72.398                5         0.727176        -0.142581          8.42546         -1.68065          9.29163         -1.87396
         -12.8571          -72.398                5         0.770015        -0.150023          10.1998          -2.0507          7.49294         -1.51724
         -9.18367          -72.398                5         0.727286        -0.143214          12.9768         -2.60764          7.90907         -1.60584
          -5.5102          -72.398                5        0.0804886       -0.0161096          13.2441         -2.65624          9.46035         -1.92261
         -1.83673          -72.398                5        -0.564384         0.113885          8.85785          -1.7602           9.7829         -1.97035
          1.83673          -72.398                5         -1.17684         0.238971          7.49897          -1.4845          10.3372         -2.08012
           5.5102          -72.398                5        -0.632033         0.123751          9.66919          -1.9337          9.28227         -1.88283
          9.18367          -72.398                5        -0.863523         0.169363          8.34488         -1.66548          9.54332         -1.93367
          12.8571          -72.398                5         -1.04173         0.204979          7.00648         -1.39346          9.74684         -1.97053
          16.5306          -72.398                5         -1.22624         0.243166          5.63929         -1.11589          9.43481         -1.90428
          20.2041          -72.398                5         -1.48097         0.297297          4.63163         -0.91614          8.51416         -1.71818
          23.8776          -72.398                5         -1.65166         0.329686          4.08986        -0.810566           7.3665          -1.4893
           27.551          -72.398                5          -1.8078         0.359822          3.49678        -0.690816          5.88102         -1.18742
          31.2245          -72.398                5         -1.81232         0.364474          2.37026        -0.468685          4.74126        -0.956247
           34.898          -72.398                5         -1.38049         0.276803          1.52897        -0.302676          3.73898        -0.753798
          38.5714          -72.398                5         -1.04123         0.208372           1.1471        -0.228838          2.76472        -0.556076
          42.2449          -72.398                5         -0.76808         0.153114         0.774691        -0.154125          2.34785        -0.471013
          45.9184          -72.398                5        -0.583219         0.115615         0.472443       -0.0936993          2.14951        -0.430478
          49.5918          -72.398                5        -0.497317        0.0994318         0.150414       -0.0288846          1.66088         -0.33044
          53.2653          -72.398                5        -0.362085         0.072388         0.157266       -0.0311368          1.37188         -0.27276
          56.9388          -72.398                5        -0.363962         0.072537         0.165069       -0.0325281          1.09702        -0.218459
          60.6122          -72.398                5        -0.299112        0.0596261         0.131241       -0.0257634         0.858987        -0.171305
          64.2857          -72.398                5        -0.212705         0.042511        0.0826895       -0.0161493         0.696012        -0.138887
          67.9592          -72.398                5        -0.176998        0.0353764        0.0632606       -0.0123088         0.601954         -0.12011
          71.6327          -72.398                5        -0.153595        0.0307021        0.0504045      -0.00978539         0.517176        -0.103182
          75.3061          -72.398                5        -0.130284        0.0260364        0.0388802      -0.00753886          0.45082       -0.0899182
          78.9796          -72.398                5       -0.0763808        0.0152121        0.0189868      -0.00366257         0.414897        -0.082697
          82.6531          -72.398                5        -0.040827       0.00813706       0.00586958      -0.00114531         0.373893        -0.074506
          86.3265          -72.398                5       -0.0447726       0.00894875         0.013135      -0.00260696         0.319405       -0.0636555
               90          -72.398                5       -0.0399122       0.00799719        0.0192973      -0.00383264         0.258286       -0.0515034
              -90         -69.0306                5        0.0960365       -0.0190859         0.054033       -0.0106733         0.479075       -0.0953792
         -86.3265         -69.0306                5          0.12673       -0.0251552        0.0597666        -0.011771         0.561969         -0.11192
         -82.6531         -69.0306                5         0.147654        -0.029283        0.0643925       -0.0126438         0.625939        -0.124711
         -78.9796         -69.0306                5         0.199858       -0.0396747          0.10059       -0.0198275         0.707683        -0.141063
         -75.3061         -69.0306                5         0.253549        -0.050365         0.151482        -0.029951         0.830873        -0.165639
         -71.6327         -69.0306                5         0.264733       -0.0526597         0.188196       -0.0373127         0.976418        -0.194641
         -67.9592         -69.0306                5         0.233409       -0.0465585         0.210734       -0.0419126          1.14432        -0.228066
         -64.2857         -69.0306                5         0.268044       -0.0536019         0.237414       -0.0473179          1.17784        -0.235003
         -60.6122         -69.0306                5         0.446984       -0.0894269         0.314877       -0.0628107          1.36754        -0.273087
         -56.9388         -69.0306                5         0.693392        -0.138187         0.473441       -0.0940043          2.08919        -0.416592
         -53.2653         -69.0306                5         0.810198        -0.161578         0.596519        -0.117997          2.84643        -0.567975
         -49.5918         -69.0306                5           1.5162         -0.30076         0.863016        -0.168396          2.76924         -0.55328
         -45.9184         -69.0306                5          1.97648        -0.394309          1.47314        -0.291165          2.89971        -0.580038
         -42.2449         -69.0306                5            2.711        -0.542717          2.64974        -0.527432          2.86505        -0.575111
         -38.5714         -69.0306                5          3.31706        -0.668017          4.29051        -0.857884          3.64246        -0.734299
          -34.898         -69.0306                5          3.63768        -0.736119          5.86366          -1.1671          5.07113         -1.02316
         -31.2245         -69.0306                5          3.28735        -0.662505          8.67614         -1.73963          6.20809          -1.2602
          -27.551         -69.0306                5          3.21255         -0.64263           11.566         -2.32762          7.53111         -1.53877
         -23.8776         -69.0306                5          2.56414        -0.511144          13.0842         -2.63771          8.83661         -1.80474
         -20.2041         -69.0306                5          1.83192        -0.361412          14.2983          -2.8712          10.1013         -2.05554
         -16.5306         -69.0306                5          1.09227        -0.210877          13.8427         -2.77035          8.73334         -1.76644
         -12.8571         -69.0306                5            1.066        -0.206883          16.2595         -3.26777          8.24054         -1.67597
         -9.18367         -69.0306                5         0.595166        -0.115404          21.0814         -4.24469          9.53168         -1.95746
          -5.5102         -69.0306                5        -0.139019        0.0286437          17.9004         -3.59234          11.4968         -2.34649
         -1.83673         -69.0306                5        -0.956714         0.194916          14.4139         -2.86435           12.431         -2.51932
          1.83673         -69.0306                5         -1.91684         0.389384          13.5824         -2.68358          14.1281         -2.86696
           5.5102         -69.0306                5         -2.04598         0.413116          12.7797         -2.55091          12.6569         -2.57016
          9.18367         -69.0306                5         -1.61426         0.320206             12.7         -2.54146          10.8005         -2.19895
          12.8571         -69.0306                5         -1.93735         0.384241          11.1009          -2.2157          10.5002         -2.13797
          16.5306         -69.0306                5         -2.33114         0.463346          9.88035         -1.97061           9.4692         -1.93104
          20.2041         -69.0306                5         -2.65088         0.528257          9.21915         -1.84304          8.50247          -1.7351
          23.8776         -69.0306                5         -2.99039         0.596645           8.3702         -1.67733          7.18124         -1.46359
           27.551         -69.0306                5         -3.38219         0.678906          6.48769         -1.30219          5.55874         -1.12772
          31.2245         -69.0306                5         -3.48998          0.70505          4.48851          -0.9007          4.72497        -0.957531
           34.898         -69.0306                5         -2.34767         0.470969          1.98941        -0.390042           4.3553        -0.882392
          38.5714         -69.0306                5         -1.77662         0.355142          1.44021        -0.284017          3.21749        -0.650093
          42.2449         -69.0306                5         -1.33949         0.266293         0.947739        -0.185779           2.8149        -0.567449
          45.9184         -69.0306                5        -0.910685         0.179594         0.468745       -0.0905209          2.45427        -0.493394
          49.5918         -69.0306                5        -0.627413         0.124817         0.135599       -0.0249319          1.76449         -0.35167
          53.2653         -69.0306                5        -0.352788        0.0703193         0.113884       -0.0222776          1.50008        -0.298318
          56.9388         -69.0306                5        -0.373546        0.0742003         0.142533       -0.0278787          1.20983        -0.240925
          60.6122         -69.0306                5        -0.327578        0.0650216         0.129551        -0.025324         0.956414        -0.190679
          64.2857         -69.0306                5        -0.218069        0.0434057        0.0766225       -0.0149417         0.743136        -0.148238
          67.9592         -69.0306                5        -0.172816         0.034364        0.0546384       -0.0105851         0.645862        -0.128805
          71.6327         -69.0306                5        -0.139865        0.0277826        0.0392269      -0.00754567         0.557869         -0.11122
          75.3061         -69.0306                5        -0.119219        0.0236616        0.0303882      -0.00582334         0.479156       -0.0954854
          78.9796         -69.0306                5       -0.0762809        0.0151055        0.0148238      -0.00282576           0.4298        -0.085612
          82.6531         -69.0306                5       -0.0483034       0.00960395       0.00445477     -0.000855387         0.382008       -0.0760911
          86.3265         -69.0306                5       -0.0500831       0.00999019          0.01165      -0.00230784          0.32723       -0.0651871
               90         -69.0306                5       -0.0447896        0.0089556        0.0185759      -0.00368735         0.265231       -0.0528639
              -90         -65.6633                5         0.113128       -0.0224492        0.0584492       -0.0115219         0.499452       -0.0994172
         -86.3265         -65.6633                5         0.144208       -0.0285961        0.0611801       -0.0120252         0.578396        -0.115159
         -82.6531         -65.6633                5         0.166647       -0.0330221        0.0636827        -0.012476         0.639112         -0.12729
         -78.9796         -65.6633                5         0.237714       -0.0471325         0.113098       -0.0222855         0.752757        -0.149978
         -75.3061         -65.6633                5         0.266274       -0.0528472         0.148337       -0.0293332         0.888759        -0.177091
         -71.6327         -65.6633                5         0.252326       -0.0501661           0.1694       -0.0336192          1.04712        -0.208629
         -67.9592         -65.6633                5         0.195871       -0.0390893         0.176286       -0.0351433          1.22783        -0.244591
         -64.2857         -65.6633                5         0.346107       -0.0691126         0.279472       -0.0556712          1.41102        -0.281205
         -60.6122         -65.6633                5         0.505801        -0.100969         0.347541       -0.0692473          1.64208        -0.327438
         -56.9388         -65.6633                5          0.72262         -0.14325         0.486731        -0.096335          2.59104         -0.51559
         -53.2653         -65.6633                5          1.24508        -0.247083         0.838305        -0.165376          3.32733        -0.662793
         -49.5918         -65.6633                5          2.01148        -0.399689          1.16786         -0.22885          2.83601        -0.567166
         -45.9184         -65.6633                5          2.65628        -0.528744          1.74598        -0.343753           2.7932        -0.559771
         -42.2449         -65.6633                5          4.31309        -0.863702          3.35571        -0.665718          2.71414        -0.549009
         -38.5714         -65.6633                5           6.0061         -1.20938          5.92274         -1.17976          3.06973        -0.628166
          -34.898         -65.6633                5          6.70723         -1.36238          8.49512          -1.7078          2.68659        -0.552672
         -31.2245         -65.6633                5          6.94126         -1.41247          12.4775         -2.53072          2.24295        -0.460912
          -27.551         -65.6633                5          6.43697         -1.29945          17.4761         -3.55268          2.35787        -0.495275
         -23.8776         -65.6633                5          5.40058         -1.07923          21.3975         -4.34381          4.92745         -1.03566
         -20.2041         -65.6633                5          4.37746         -0.87131          22.8616         -4.63637          5.61143         -1.16884
         -16.5306         -65.6633                5          3.02897        -0.594681          25.8233         -5.21899          7.42824         -1.53996
         -12.8571         -65.6633                5          1.33382        -0.258658          26.2812         -5.30133          9.70755         -2.00395
         -9.18367         -65.6633                5       -0.0161653       0.00936646          29.5321         -5.95671          12.2134          -2.5348
          -5.5102         -65.6633                5         -1.29408         0.270015          27.2922          -5.4948          11.6963          -2.4216
         -1.83673         -65.6633                5         -2.62778          0.53945          27.1207         -5.44898          13.2131         -2.73821
          1.83673         -65.6633                5         -3.59876         0.731416          27.1209         -5.44053           15.962         -3.31149
           5.5102         -65.6633                5         -3.11033         0.624002          23.9684         -4.79521          14.9774          -3.1106
          9.18367         -65.6633                5         -2.48603         0.492234          24.8026         -4.98501          12.6907         -2.65596
          12.8571         -65.6633                5         -2.60487         0.509563          23.0573         -4.64588          12.6701         -2.61995
          16.5306         -65.6633                5         -3.73792         0.739943          20.2176         -4.07362          11.2977          -2.3258
          20.2041         -65.6633                5         -4.23278         0.836363          19.8222         -3.99019          9.21822         -1.89591
          23.8776         -65.6633                5         -5.08643          1.01619          17.2101         -3.49698          6.56933         -1.35812
           27.551         -65.6633                5         -6.11071          1.23193          12.2689         -2.49267          6.76262         -1.38724
          31.2245         -65.6633                5         -5.76917          1.16895          6.78711         -1.37217          4.48181        -0.913079
           34.898         -65.6633                5         -4.41776         0.893059          3.58185        -0.713625          4.39738        -0.893603
