           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -90            -82.5                5        0.0981186       -0.0195479        0.0628236       -0.0124536         0.334093       -0.0666569
         -86.3265            -82.5                5        0.0747865       -0.0149039        0.0539168       -0.0106803         0.432426       -0.0862779
         -82.6531            -82.5                5        0.0521501       -0.0103798        0.0386804       -0.0076458         0.518063        -0.103382
         -78.9796            -82.5                5        0.0516215       -0.0102529        0.0410275        -0.008112         0.581144        -0.116004
         -75.3061            -82.5                5        0.0757481       -0.0150655        0.0732175       -0.0145275         0.624063        -0.124621
         -71.6327            -82.5                5         0.100248        -0.019979         0.111531       -0.0221715          0.65929        -0.131714
         -67.9592            -82.5                5         0.125121       -0.0249934         0.155969       -0.0310441         0.686825        -0.137283
         -64.2857            -82.5                5         0.150367       -0.0301089          0.20653       -0.0411452         0.706666         -0.14133
         -60.6122            -82.5                5         0.175877       -0.0352628         0.249419       -0.0496997          0.79438        -0.158903
         -56.9388            -82.5                5         0.200286       -0.0401033         0.227873       -0.0453223          1.03255        -0.206469
         -53.2653            -82.5                5         0.223216       -0.0446629         0.161177         -0.03191          1.18317         -0.23663
         -49.5918            -82.5                5         0.247289       -0.0494312         0.124691       -0.0244976          1.45866        -0.292138
         -45.9184            -82.5                5         0.278752       -0.0556779         0.225421       -0.0445727          1.88387        -0.377793
         -42.2449            -82.5                5          0.31731       -0.0633797         0.432937       -0.0861069          2.28887        -0.459333
         -38.5714            -82.5                5         0.362964       -0.0725368         0.747238          -0.1491          2.67366        -0.536758
          -34.898            -82.5                5         0.415714       -0.0831491          1.16832        -0.233553          3.03825        -0.610068
         -31.2245            -82.5                5         0.453734       -0.0908783          1.60499         -0.32119           3.3569        -0.674072
          -27.551            -82.5                5         0.431103       -0.0865979          1.84946        -0.370363           3.5988        -0.722562
         -23.8776            -82.5                5         0.364539       -0.0733376          2.08283        -0.417412          3.63724        -0.730146
         -20.2041            -82.5                5         0.490277       -0.0983986          2.29229        -0.459908          3.56798        -0.716483
         -16.5306            -82.5                5         0.654187        -0.131156          2.46649        -0.494994          3.66004        -0.735286
         -12.8571            -82.5                5         0.678527        -0.135993          2.58883        -0.519123          3.86413        -0.776326
         -9.18367            -82.5                5         0.563297        -0.112909          2.65933        -0.532297          4.18025        -0.839603
          -5.5102            -82.5                5         0.308498       -0.0619042          2.67798        -0.534515          4.60839        -0.925117
         -1.83673            -82.5                5      -0.00150526      0.000384971          2.71194        -0.540877          4.64921        -0.932969
          1.83673            -82.5                5        -0.157881        0.0321733          2.35681        -0.470904          4.13494        -0.830169
           5.5102            -82.5                5        -0.286838        0.0582844          2.01581        -0.403418           3.6761        -0.738473
          9.18367            -82.5                5        -0.388847        0.0788116          1.69157        -0.338946          3.27321        -0.657978
          12.8571            -82.5                5        -0.463907        0.0937549          1.38408        -0.277488          2.92627        -0.588687
          16.5306            -82.5                5        -0.512019         0.103114          1.09336        -0.219043          2.63527        -0.530596
          20.2041            -82.5                5        -0.533182          0.10689         0.819397        -0.163611          2.40021        -0.483708
          23.8776            -82.5                5        -0.493657        0.0990936         0.799565        -0.159556          2.36165        -0.475645
           27.551            -82.5                5          -0.4729        0.0951682         0.825993         -0.16511          2.26682        -0.456341
          31.2245            -82.5                5         -0.41534        0.0834974         0.763147        -0.152726          2.10267        -0.423364
           34.898            -82.5                5         -0.27854        0.0556974         0.617413        -0.123518          1.96842        -0.396283
          38.5714            -82.5                5        -0.174326        0.0345932         0.467335       -0.0934425          1.80341         -0.36287
          42.2449            -82.5                5        -0.102698        0.0201848         0.312914       -0.0625007          1.60765        -0.323127
          45.9184            -82.5                5       -0.0636545        0.0124721         0.154149       -0.0306924          1.38115        -0.277054
          49.5918            -82.5                5       -0.0634022        0.0126063        0.0462858      -0.00908579          1.14209        -0.228525
          53.2653            -82.5                5       -0.0976886        0.0194647         0.105515       -0.0209616         0.950049        -0.190131
          56.9388            -82.5                5        -0.133688        0.0267491         0.136283       -0.0271434         0.753991        -0.150938
          60.6122            -82.5                5        -0.152496         0.030606         0.123321       -0.0245162          0.62524        -0.125194
          64.2857            -82.5                5        -0.150084        0.0301618        0.0948294       -0.0187645         0.556062        -0.111342
          67.9592            -82.5                5        -0.138228         0.027803        0.0688938       -0.0135593         0.495768       -0.0992537
          71.6327            -82.5                5        -0.116929        0.0235295        0.0455144       -0.0089006         0.444357       -0.0889282
          75.3061            -82.5                5       -0.0861852        0.0173414         0.024691       -0.0047884         0.401831       -0.0803659
          78.9796            -82.5                5       -0.0459983       0.00923868        0.0064238       -0.0012227         0.368188       -0.0735669
          82.6531            -82.5                5       -0.0306652       0.00613999       0.00548839       -0.0010786         0.329284       -0.0657534
          86.3265            -82.5                5       -0.0419348       0.00838647        0.0158289      -0.00312552          0.27648       -0.0552222
               90            -82.5                5        -0.051203        0.0102044        0.0230335      -0.00454316         0.219144       -0.0438111
